name,slug,summary,categories,pricingModel,startingPrice,currency,freePlanAvailable,trialAvailable,bestFor,notBestFor,pros,cons,professions,countries,useCases,affiliateAvailable,lastCheckedAt
ChatGPT,chatgpt,"General-purpose AI assistant for writing, analysis, brainstorming, coding, and business workflows.","[""ai-chatbots"", ""ai-writing"", ""ai-coding""]",freemium,,USD,True,False,"[""general AI tasks"", ""drafting"", ""analysis"", ""coding help""]","[""specialised workflow automation without setup""]","[""broad use cases"", ""easy to use"", ""strong ecosystem""]","[""outputs still require checking"", ""plan details may change""]","[""accountants"", ""real-estate-agents"", ""recruiters"", ""sales-teams"", ""marketing-agencies"", ""freelancers"", ""consultants"", ""teachers"", ""developers""]","[""us"", ""uk"", ""au"", ""ca"", ""nz"", ""ie"", ""sg"", ""za"", ""in"", ""ph""]","[""writing"", ""analysis"", ""coding"", ""prompting""]",False,
Claude,claude,"AI assistant often used for long-form writing, document analysis, and business reasoning.","[""ai-chatbots"", ""ai-writing"", ""ai-coding""]",freemium,,USD,True,False,"[""long documents"", ""writing"", ""analysis""]","[""users who need every third-party integration""]","[""strong writing quality"", ""good long-context workflows""]","[""availability and features vary by plan/region""]","[""consultants"", ""freelancers"", ""marketing-agencies"", ""developers"", ""teachers""]","[""us"", ""uk"", ""au"", ""ca"", ""nz"", ""ie"", ""sg""]","[""writing"", ""document analysis"", ""research""]",False,
Jasper,jasper,AI writing and marketing content platform for teams and agencies.,"[""ai-writing""]",paid,,USD,False,True,"[""marketing teams"", ""brand content"", ""campaign copy""]","[""casual users wanting a free tool""]","[""marketing-focused workflows"", ""brand voice features""]","[""can be expensive for light use""]","[""marketing-agencies"", ""freelancers"", ""ecommerce-sellers""]","[""us"", ""uk"", ""au"", ""ca""]","[""marketing copy"", ""blog drafts"", ""ad copy""]",True,
Copy.ai,copy-ai,AI writing and go-to-market content tool for sales and marketing teams.,"[""ai-writing"", ""ai-sales-automation""]",freemium,,USD,True,True,"[""sales copy"", ""marketing workflows"", ""go-to-market teams""]","[""deep technical writing""]","[""useful templates"", ""sales and marketing focus""]","[""outputs need editing for accuracy""]","[""sales-teams"", ""marketing-agencies"", ""freelancers""]","[""us"", ""uk"", ""au"", ""ca"", ""in"", ""ph""]","[""cold email"", ""ad copy"", ""content ideas""]",True,
Grammarly,grammarly,"Writing assistant for grammar, clarity, tone, and business communication.","[""ai-writing""]",freemium,,USD,True,False,"[""editing"", ""business emails"", ""grammar improvement""]","[""full content strategy""]","[""easy to adopt"", ""works across many writing surfaces""]","[""not a full marketing platform""]","[""accountants"", ""recruiters"", ""sales-teams"", ""teachers"", ""freelancers""]","[""us"", ""uk"", ""au"", ""ca"", ""nz"", ""ie"", ""sg""]","[""editing"", ""email writing"", ""proofreading""]",True,
Canva,canva,"Design platform with AI-assisted visual content, presentations, and marketing assets.","[""ai-design""]",freemium,,USD,True,True,"[""social graphics"", ""presentations"", ""simple design""]","[""advanced professional design workflows only""]","[""easy design workflow"", ""large template library""]","[""advanced users may need specialist tools""]","[""real-estate-agents"", ""marketing-agencies"", ""ecommerce-sellers"", ""teachers"", ""freelancers""]","[""us"", ""uk"", ""au"", ""ca"", ""nz"", ""ie"", ""sg"", ""za"", ""in"", ""ph""]","[""design"", ""presentations"", ""social media""]",True,
Notion AI,notion-ai,"AI features inside Notion for notes, docs, wikis, and team knowledge management.","[""ai-writing"", ""ai-project-management""]",paid add-on,,USD,False,False,"[""teams already using Notion"", ""knowledge bases"", ""project notes""]","[""users outside the Notion ecosystem""]","[""integrated with workspace docs"", ""useful for summaries""]","[""best value if already using Notion""]","[""consultants"", ""freelancers"", ""marketing-agencies"", ""developers""]","[""us"", ""uk"", ""au"", ""ca"", ""sg""]","[""notes"", ""summaries"", ""project documentation""]",False,
Fireflies.ai,fireflies-ai,"AI meeting assistant for transcription, notes, summaries, and conversation intelligence.","[""ai-meeting-notes""]",freemium,,USD,True,True,"[""meeting-heavy teams"", ""sales calls"", ""client calls""]","[""teams that cannot record meetings""]","[""meeting summaries"", ""searchable transcripts""]","[""privacy and consent must be managed""]","[""sales-teams"", ""consultants"", ""recruiters"", ""accountants""]","[""us"", ""uk"", ""au"", ""ca"", ""in"", ""ph""]","[""meeting notes"", ""call summaries""]",True,
HubSpot,hubspot,"CRM and marketing platform with AI features for sales, marketing, and customer operations.","[""ai-crm"", ""ai-sales-automation""]",freemium/paid,,USD,True,True,"[""CRM"", ""marketing automation"", ""sales teams""]","[""users wanting only a lightweight note app""]","[""broad CRM ecosystem"", ""strong business workflows""]","[""cost can grow with scale""]","[""sales-teams"", ""real-estate-agents"", ""marketing-agencies"", ""consultants""]","[""us"", ""uk"", ""au"", ""ca"", ""sg"", ""ie""]","[""CRM"", ""lead management"", ""marketing automation""]",True,
GitHub Copilot,github-copilot,"AI coding assistant for code completion, chat, debugging, and developer productivity.","[""ai-coding""]",paid/freemium by user type,,USD,False,True,"[""developers"", ""software teams"", ""coding help""]","[""non-technical business tasks""]","[""integrated with developer workflows"", ""useful for code suggestions""]","[""code must be reviewed carefully""]","[""developers""]","[""us"", ""uk"", ""au"", ""ca"", ""nz"", ""ie"", ""sg"", ""in""]","[""coding"", ""debugging"", ""documentation""]",False,
